,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,koplik,42.21,19.44,98.6,22.0,0.0,5.82,AL,1596037015
132,boende,-0.22,20.87,83.86,53.0,100.0,3.4,CD,1596037015
133,tiznit,29.58,-9.5,89.11,31.0,0.0,8.55,MA,1596036850
134,pandan,14.05,124.17,79.11,86.0,99.0,8.75,PH,1596037016
135,lebanon,36.21,-86.29,87.01,78.0,75.0,4.7,US,1596037016
136,port-gentil,-0.72,8.78,82.4,65.0,75.0,15.23,GA,1596036952
137,luderitz,-26.65,15.16,66.2,52.0,0.0,18.34,NA,1596037016
138,itaituba,-4.28,-55.98,97.95,22.0,0.0,4.38,BR,1596037017
139,sayanogorsk,53.09,91.4,58.91,77.0,54.0,5.82,RU,1596037017
140,butaritari,3.07,172.79,82.65,78.0,99.0,15.52,KI,1596036773
141,port hardy,50.7,-127.42,53.6,93.0,75.0,2.24,CA,1596036786
142,wencheng,33.06,113.8,76.46,94.0,98.0,2.46,CN,1596037019
143,haines junction,60.75,-137.51,51.98,83.0,100.0,0.92,CA,1596037010
144,swellendam,-34.02,20.44,66.2,55.0,0.0,13.87,ZA,1596037019
145,synya,65.37,58.04,58.35,55.0,69.0,6.64,RU,1596037020
146,bilibino,68.05,166.44,42.24,66.0,99.0,6.6,RU,1596037020
147,elizabeth city,36.29,-76.25,87.01,74.0,75.0,10.29,US,1596036898
148,saint-augustin,51.23,-58.65,65.19,59.0,1.0,12.86,CA,1596037021
149,tabou,4.42,-7.35,76.87,83.0,44.0,12.19,CI,1596037021
150,chokurdakh,70.63,147.92,43.47,76.0,96.0,6.93,RU,1596037021
151,kroya,-7.63,109.25,71.87,81.0,84.0,6.76,ID,1596037022
152,khorixas,-20.37,14.97,79.32,16.0,0.0,3.62,NA,1596036830
153,torbay,47.67,-52.73,61.0,87.0,90.0,4.7,CA,1596037023
154,touros,-5.2,-35.46,82.4,69.0,75.0,16.11,BR,1596037023
155,kaeo,-35.1,173.78,55.0,3.0,100.0,5.99,NZ,1596037023
156,kloulklubed,7.04,134.26,77.0,94.0,90.0,8.72,PW,1596037024
157,chimoio,-19.12,33.48,75.0,53.0,20.0,6.08,MZ,1596037024
158,carlisle,40.2,-77.19,86.0,45.0,0.0,5.01,US,1596036929
159,rawlins,41.79,-107.24,66.0,59.0,1.0,12.75,US,1596036785
160,tuatapere,-46.13,167.68,52.32,82.0,100.0,8.43,NZ,1596037025
161,xucheng,20.35,110.13,80.6,94.0,0.0,4.47,CN,1596037026
162,pangnirtung,66.15,-65.71,50.0,93.0,75.0,8.05,CA,1596037026
163,quesnel,53.0,-122.5,57.2,87.0,99.0,2.24,CA,1596036963
164,umtata,-31.59,28.78,60.8,67.0,4.0,11.41,ZA,1596037027
165,ostrovnoy,68.05,39.51,55.8,73.0,0.0,14.72,RU,1596037027
166,djambala,-2.54,14.75,84.06,38.0,33.0,7.11,CG,1596037020
167,bud,39.45,-86.18,80.01,69.0,1.0,2.62,US,1596037028
168,roma,43.21,-75.46,78.8,57.0,75.0,6.93,US,1596037029
169,saint anthony,45.02,-93.22,79.0,44.0,1.0,5.93,US,1596037029
170,yuxia,34.06,108.63,82.0,94.0,20.0,6.71,CN,1596037029
171,roald,62.58,6.13,60.01,93.0,75.0,10.29,NO,1596037030
172,jalu,29.03,21.55,100.17,15.0,0.0,7.96,LY,1596037030
173,palmer,42.16,-72.33,88.0,48.0,20.0,5.32,US,1596037030
174,richards bay,-28.78,32.04,65.34,85.0,4.0,6.06,ZA,1596037030
175,alofi,-19.06,-169.92,68.0,72.0,1.0,10.29,NU,1596036953
176,baoding,38.85,115.49,79.9,69.0,12.0,5.53,CN,1596037031
177,ghanzi,-21.57,21.78,65.53,26.0,0.0,7.4,BW,1596037031
178,ketchikan,55.34,-131.65,55.4,93.0,1.0,3.36,US,1596036783
179,joshimath,30.57,79.57,68.38,62.0,100.0,2.8,IN,1596037032
180,samarai,-10.62,150.67,76.86,85.0,99.0,16.71,PG,1596036823
181,marienburg,54.04,19.03,68.0,52.0,20.0,12.75,PL,1596037033
182,atasu,48.68,71.64,65.08,53.0,37.0,6.24,KZ,1596037033
183,upernavik,72.79,-56.15,43.32,91.0,100.0,4.32,GL,1596036799
184,murdochville,48.96,-65.5,66.2,83.0,100.0,3.31,CA,1596037034
185,porto novo,6.5,2.6,82.4,74.0,20.0,13.87,BJ,1596037034
186,inhambane,-23.86,35.38,75.0,68.0,20.0,9.17,MZ,1596037035
187,sunrise manor,36.21,-115.07,90.0,16.0,1.0,4.7,US,1596036789
188,umreth,22.7,73.12,86.0,79.0,40.0,10.29,IN,1596037035
189,new norfolk,-42.78,147.06,46.99,79.0,19.0,1.99,AU,1596037036
190,dharapuram,10.73,77.52,73.4,88.0,75.0,11.41,IN,1596037036
191,yaan,7.38,8.57,81.18,76.0,76.0,6.4,NG,1596037036
192,turriff,57.54,-2.46,62.01,79.0,58.0,1.99,GB,1596037037
193,victoria,22.29,114.16,86.0,74.0,98.0,11.01,HK,1596036924
194,half moon bay,37.46,-122.43,63.0,87.0,90.0,3.56,US,1596036925
195,ushtobe,45.25,77.98,71.91,29.0,6.0,6.13,KZ,1596037038
196,mirador,-6.37,-44.36,91.74,34.0,0.0,8.81,BR,1596037038
197,san patricio,19.22,-104.7,80.6,83.0,75.0,6.93,MX,1596037038
198,radcliff,37.84,-85.95,84.2,70.0,40.0,5.82,US,1596037039
199,catuday,16.29,119.81,78.73,87.0,100.0,6.96,PH,1596037039
200,bani,18.28,-70.33,89.6,62.0,40.0,13.87,DO,1596036946
201,port-cartier,50.03,-66.87,60.01,93.0,90.0,16.11,CA,1596037040
202,kizukuri,40.81,140.39,66.0,91.0,31.0,1.01,JP,1596037040
203,najran,17.49,44.13,87.8,48.0,40.0,11.41,SA,1596037040
204,leh,34.17,77.58,69.4,24.0,20.0,7.36,IN,1596036844
205,olenino,56.21,33.49,64.63,91.0,100.0,11.45,RU,1596037041
206,aviles,43.55,-5.92,71.01,82.0,75.0,11.41,ES,1596037041
207,berlevag,70.86,29.09,59.0,72.0,40.0,8.05,NO,1596037042
208,qasigiannguit,68.82,-51.19,44.6,75.0,40.0,4.7,GL,1596037042
209,sucua,-2.47,-78.17,66.2,93.0,75.0,5.82,EC,1596037042
210,craig,40.52,-107.55,62.6,63.0,1.0,7.38,US,1596037043
211,bahia de caraquez,-0.6,-80.42,75.2,83.0,75.0,8.05,EC,1596037043
212,puerto ayora,-0.74,-90.35,71.6,73.0,75.0,23.04,EC,1596036773
213,umarkot,25.36,69.74,92.1,60.0,62.0,21.59,PK,1596037043
214,nampa,43.54,-116.56,75.99,60.0,1.0,9.17,US,1596036780
215,pokrovsk,48.28,37.18,79.66,41.0,0.0,7.38,UA,1596036806
216,bandarbeyla,9.49,50.81,79.5,75.0,86.0,30.11,SO,1596036872
217,port moresby,-9.44,147.18,75.2,94.0,75.0,11.41,PG,1596036946
218,mersing,2.43,103.84,77.0,94.0,100.0,2.24,MY,1596037045
219,saldanha,-33.01,17.94,62.6,72.0,0.0,8.05,ZA,1596037045
220,buraydah,26.33,43.98,114.8,18.0,85.0,11.41,SA,1596037009
221,jinchang,38.5,102.17,71.44,43.0,97.0,10.96,CN,1596037046
222,ville-marie,47.33,-79.43,66.2,77.0,90.0,9.17,CA,1596037046
223,salalah,17.02,54.09,82.4,88.0,75.0,8.05,OM,1596036943
224,rincon,32.3,-81.24,87.01,70.0,75.0,9.17,US,1596037047
225,sosnogorsk,63.6,53.88,64.13,49.0,22.0,5.01,RU,1596037047
226,tonantins,-2.87,-67.8,87.51,57.0,23.0,5.3,BR,1596037048
227,baykit,61.67,96.37,60.31,87.0,35.0,7.05,RU,1596037048
228,tarakan,3.3,117.63,78.8,88.0,20.0,3.36,ID,1596037006
229,trairi,-3.28,-39.27,86.79,48.0,0.0,13.94,BR,1596037049
230,warmbad,-28.45,18.73,66.36,33.0,0.0,7.9,NA,1596037049
231,narsaq,60.92,-46.05,55.4,76.0,75.0,6.93,GL,1596036775
232,natchez,31.56,-91.4,82.4,88.0,75.0,8.05,US,1596036826
233,buritis,-15.62,-46.42,88.32,25.0,0.0,4.56,BR,1596037050
234,karambakkudi,10.47,79.13,82.4,69.0,40.0,6.93,IN,1596037050
235,kattivakkam,13.22,80.32,82.4,88.0,75.0,12.53,IN,1596037051
236,ust-maya,60.42,134.53,60.64,45.0,98.0,6.6,RU,1596037051
237,labytnangi,66.66,66.42,55.17,68.0,87.0,3.33,RU,1596037052
238,scarborough,54.28,-0.4,66.0,52.0,42.0,3.0,GB,1596037052
239,vanimo,-2.67,141.3,77.81,85.0,41.0,5.46,PG,1596037053
240,harper,4.38,-7.72,77.0,83.0,81.0,12.59,LR,1596037053
241,puerto gaitan,4.31,-72.08,85.26,64.0,4.0,5.61,CO,1596036957
242,longyearbyen,78.22,15.64,53.6,81.0,75.0,5.82,SJ,1596037054
243,siuna,13.73,-84.78,83.32,70.0,73.0,4.32,NI,1596037054
244,bredy,52.42,60.34,66.63,65.0,2.0,4.88,RU,1596037055
245,provideniya,64.38,-173.3,48.83,91.0,100.0,7.47,RU,1596036945
246,saint-denis,48.92,2.33,81.0,29.0,4.0,4.7,FR,1596037055
247,aranjuez,40.03,-3.6,102.2,17.0,3.0,5.82,ES,1596037056
248,ndele,8.41,20.65,72.45,95.0,94.0,4.0,CF,1596037056
249,axim,4.87,-2.24,78.44,74.0,16.0,10.51,GH,1596037056
250,nueva gerona,21.88,-82.8,86.04,67.0,1.0,15.64,CU,1596037057
251,vila velha,-20.33,-40.29,82.4,58.0,0.0,16.11,BR,1596036791
252,bilma,18.69,12.92,107.01,11.0,3.0,3.94,NE,1596037057
253,plettenberg bay,-34.05,23.37,58.5,64.0,0.0,6.49,ZA,1596037058
254,inuvik,68.35,-133.72,46.4,93.0,90.0,8.05,CA,1596036922
255,cabedelo,-6.98,-34.83,78.8,88.0,75.0,9.17,BR,1596037058
256,laguna,38.42,-121.42,66.2,72.0,1.0,10.29,US,1596037059
257,pemba,-12.97,40.52,77.0,69.0,75.0,19.46,MZ,1596037059
258,mount isa,-20.73,139.5,57.2,35.0,0.0,1.12,AU,1596037059
259,soe,-9.86,124.28,57.58,93.0,2.0,4.83,ID,1596037060
260,dunedin,-45.87,170.5,48.0,83.0,100.0,10.0,NZ,1596036899
261,novoshakhtinsk,47.76,39.93,89.6,27.0,14.0,6.71,RU,1596037061
262,fiumicino,41.77,12.23,95.0,70.0,0.0,11.41,IT,1596037061
263,akyab,20.15,92.9,82.83,85.0,100.0,8.08,MM,1596037061
264,novikovo,51.15,37.89,81.05,51.0,0.0,5.32,RU,1596037061
265,port hedland,-20.32,118.57,59.0,62.0,0.0,6.93,AU,1596037062
266,itarema,-2.92,-39.92,86.67,49.0,0.0,14.94,BR,1596037027
267,norman wells,65.28,-126.83,57.2,93.0,90.0,12.75,CA,1596037062
268,eydhafushi,5.1,73.07,82.44,79.0,100.0,18.3,MV,1596037063
269,sao joao da barra,-21.64,-41.05,82.4,58.0,1.0,12.75,BR,1596037060
270,rapid valley,44.06,-103.15,66.2,93.0,90.0,8.05,US,1596037063
271,henties bay,-22.12,14.28,61.0,85.0,0.0,1.01,NA,1596037064
272,pinawa,50.15,-95.88,72.09,52.0,1.0,3.98,CA,1596037064
273,agra,27.18,78.02,78.8,88.0,40.0,3.36,IN,1596037064
274,vao,-22.67,167.48,70.88,85.0,100.0,27.45,NC,1596037064
275,naze,28.37,129.48,82.4,94.0,20.0,4.7,JP,1596037065
276,krasnoselkup,65.7,82.47,57.81,65.0,96.0,2.57,RU,1596036966
277,mandera,3.94,41.87,86.88,43.0,49.0,14.0,KE,1596037066
278,deputatskiy,69.3,139.9,34.57,89.0,18.0,4.32,RU,1596037066
279,shimoda,34.67,138.95,64.99,96.0,100.0,1.01,JP,1596037067
280,zadonsk,52.39,38.93,91.4,29.0,0.0,6.71,RU,1596037067
281,zhezkazgan,47.8,67.71,72.32,36.0,17.0,12.35,KZ,1596037067
282,gari,59.43,62.35,59.29,72.0,99.0,6.06,RU,1596037068
283,chihuahua,28.5,-106.0,78.8,54.0,5.0,2.08,MX,1596036956
284,fairbanks,64.84,-147.72,52.0,87.0,90.0,4.7,US,1596036873
285,latung,5.5,120.88,83.59,72.0,93.0,5.48,PH,1596037068
286,egvekinot,66.32,-179.17,47.89,94.0,100.0,3.56,RU,1596036988
287,kununurra,-15.77,128.73,57.2,29.0,0.0,2.24,AU,1596037055
288,saint george,37.1,-113.58,84.0,14.0,1.0,2.08,US,1596037069
289,sechura,-5.56,-80.82,69.42,59.0,30.0,7.45,PE,1596037070
290,malanje,-9.54,16.34,84.2,66.0,75.0,5.82,AO,1596037070
291,tilichiki,60.47,166.1,50.27,94.0,100.0,1.77,RU,1596037070
292,nabire,-3.37,135.48,75.34,89.0,71.0,3.96,ID,1596037071
293,codrington,-38.27,141.97,50.11,79.0,43.0,7.54,AU,1596037071
294,makakilo city,21.35,-158.09,75.2,94.0,75.0,4.7,US,1596037071
295,wattegama,6.8,81.48,82.4,78.0,20.0,10.29,LK,1596037071
296,kruisfontein,-34.0,24.73,62.01,66.0,0.0,10.45,ZA,1596037072
297,matamoros,25.53,-103.25,77.0,69.0,40.0,5.82,MX,1596036928
298,maceio,-9.67,-35.74,78.8,78.0,90.0,17.22,BR,1596036858
299,uyutne,45.2,33.3,81.54,50.0,0.0,14.56,UA,1596037073
300,vestmannaeyjar,63.44,-20.27,53.6,87.0,40.0,10.29,IS,1596036774
301,humaita,-7.51,-63.02,95.94,28.0,0.0,6.02,BR,1596037074
302,aktau,43.65,51.2,66.2,82.0,40.0,15.66,KZ,1596037074
303,njeru,0.42,33.17,71.04,63.0,7.0,4.41,UG,1596037074
304,muros,42.78,-9.06,91.0,45.0,0.0,4.0,ES,1596037075
305,jishou,28.32,109.72,75.15,89.0,85.0,2.1,CN,1596037075
306,bajil,15.06,43.29,89.04,55.0,96.0,7.58,YE,1596037075
307,pisco,-13.7,-76.22,60.8,77.0,90.0,6.93,PE,1596036796
308,bengkulu,-3.8,102.27,76.77,89.0,51.0,7.47,ID,1596037076
309,quatre cocos,-20.21,57.76,72.0,83.0,75.0,9.17,MU,1596037076
310,kirakira,-10.45,161.92,79.05,79.0,100.0,5.59,SB,1596036843
311,neka,36.65,53.3,89.6,52.0,40.0,6.93,IR,1596037077
312,te anau,-45.42,167.72,50.14,88.0,100.0,4.79,NZ,1596036791
313,izvestkovyy,48.98,131.55,65.88,92.0,0.0,1.01,RU,1596037077
314,mandalgovi,45.76,106.27,67.82,57.0,100.0,9.37,MN,1596037078
315,abha,18.22,42.51,71.6,56.0,40.0,3.36,SA,1596037078
316,hasaki,35.73,140.83,68.0,94.0,75.0,8.05,JP,1596037078
317,iracoubo,5.48,-53.2,85.44,68.0,0.0,11.81,GF,1596037079
318,tirumullaivasal,11.23,79.83,80.94,76.0,100.0,10.56,IN,1596037079
319,sokoto,13.06,5.24,93.61,39.0,1.0,6.96,NG,1596037079
320,cabo san lucas,22.89,-109.91,84.0,78.0,5.0,9.17,MX,1596037080
321,avera,33.19,-82.53,84.0,78.0,75.0,6.93,US,1596037080
322,champerico,14.3,-91.92,84.2,70.0,20.0,2.19,GT,1596037080
323,lata,40.16,-8.33,97.0,65.0,20.0,9.17,PT,1596037081
324,gashua,12.87,11.05,94.98,38.0,28.0,11.32,NG,1596037081
325,aklavik,68.22,-135.01,50.0,87.0,90.0,5.82,CA,1596036947
326,nerchinskiy zavod,51.31,119.61,65.77,91.0,100.0,2.37,RU,1596037082
327,kilindoni,-7.91,39.67,76.87,80.0,0.0,16.75,TZ,1596037082
328,college,64.86,-147.8,52.0,81.0,90.0,5.06,US,1596036821
329,waipawa,-41.41,175.52,50.0,93.0,22.0,6.93,NZ,1596037083
330,novopavlovka,51.22,109.21,60.73,90.0,39.0,3.62,RU,1596037083
331,wawa,9.9,4.42,83.86,70.0,12.0,5.95,NG,1596037083
332,alagoinha,-6.95,-35.55,78.8,69.0,40.0,11.41,BR,1596037083
333,kalengwa,-13.47,25.0,71.65,31.0,8.0,4.16,ZM,1596036845
334,acarau,-2.89,-40.12,87.35,47.0,0.0,13.0,BR,1596036990
335,nyuksenitsa,60.41,44.24,67.96,87.0,95.0,2.3,RU,1596037084
336,salym,60.06,71.48,52.03,84.0,74.0,2.89,RU,1596037085
337,havre-saint-pierre,50.23,-63.6,60.8,77.0,90.0,11.41,CA,1596037085
338,aleksandrov gay,50.15,48.57,81.37,32.0,55.0,5.73,RU,1596037085
339,clarence town,-32.58,151.78,54.0,100.0,47.0,9.17,AU,1596037086
340,nemuro,43.32,145.57,59.76,92.0,11.0,10.76,JP,1596037086
341,ewa beach,21.32,-158.01,75.2,94.0,75.0,4.7,US,1596037017
342,broken hill,-31.95,141.43,42.8,35.0,0.0,7.67,AU,1596037087
343,xuddur,4.12,43.89,80.91,57.0,62.0,12.15,SO,1596037087
344,dulce nombre de culmi,15.1,-85.53,75.67,81.0,99.0,2.04,HN,1596037087
345,luanda,-8.84,13.23,75.2,73.0,20.0,9.17,AO,1596036946
346,taitung,22.76,121.14,80.89,75.0,61.0,9.93,TW,1596037088
347,irbil,36.19,44.01,113.0,12.0,20.0,11.41,IQ,1596036961
